addison_id,addison_done,addison_coord,addison_location,addison_region,addison_solution,addison_reward
,0,"4651, -2337, 0055",,Mount Lanayru,Stick two wooden legs together and slide it in the slot to the sign's side to make a base.,
,0,"-2396, -2159, 0268",,Gerudo Highlands,Place a box on the plank to act as counterweight for the sign.,
,0,"-2088, -1951, 0139",,Gerudo Highlands,Use a leg to slide it on the slot to the side of the sign.,
,0,"-1799, -2616, 0159",,Gerudo Highlands,Squish both sides of the sign using the wooden legs.,"20 Rupees, Chilly Mushroom Rice Balls 5 hearts (lv 1 Heat Resist 4 mins), Bomb Flower"
,0,"-4106, -1388, 0454",,Gerudo Highlands,Attach the wooden board to the Zonai stabilizer and place it in front of the Hudson sign. Activate it and ask Addison to let the sign go.,
,0,"-2757, -2261, 0033",Next to the Gerudo Canyon Stable,Gerudo Highlands,Use the boulder to hold the Hudson sign steady. Place small rocks at the bottom of the boulder to keep it stable.,"20 Rupees, Chilly Mushroom Rice Balls (5 hearts, lv 1 heat resist 4mi, Sleepover ticket"
,0,"-1075, -3350, 0156",,Gerudo Highlands,Attach a wooden board on the Zonai stabilizer and activate it to hold the Hudson sign steady. Place the other wooden board under the stabilizer so it can stand on a flat surface.,
,0,"-1607, -2247, -0016",Near Starly Plateau Cave,Gerudo Highlands,Use the wooden ramp and beams to craft a makeshift stand for the Hudson sign to lean on.,"20 Rupees, Chilly Veggie Rice Balls (4 hearts) heat resist lv 1 4min, Puffshroom"
,0,"-3439, -3122, 0055",,Gerudo Desert,Slide in a wooden leg and build a base for the sign.,
,0,"-2964, -3793, 0030",,Gerudo Desert,Slot in the metal flooring vertically onto the middle of the sign and stick the other metal floor as its base.,
,0,"1021, 3109, 0274",,Eldin Canyon,Use the metal rod and plates to create a makeshift frame for the Hudson board to lean at.,
,0,"1980, 2654, 0458",,Eldin Canyon,Use the metal plate and rods nearby to create a makeshift support. Place the Hudson board between the two metal rods.,
,0,"1572, 2162, 0340",,Eldin Canyon,Use the metal rod and plates to create a makeshift frame for the Hudson board to lean at.,
,0,"2267, 2315, 0520",,Eldin Canyon,Use the metal rods and plates and create a makeshift stall for the Hudson board to lean at.,
,0,"2819, 3551, 0238",,Eldin Canyon,Use the nearby wooden boards and craft a makeshift clasp to hold the Hudson board.,
,0,"2573, 1101, 0136",,Eldin Canyon,Use the nearby wooden materials to make a stand. Insert a wooden beam inside the Hudson board to secure it.,"20 rupees, Energizing Rice Balls, 1 Sleepover ticket"
,0,"1344, 0800, 0021",,Eldin Canyon,Build a wooden arc for the Hudson sign to hang on to using the wooden materials nearby.,
,0,"2094, 0215, 0016",,Eldin Canyon,Use the nearby wooden materials to make a scaffolding for the Hudson sign to lean on. Place wooden beams below the frame to stabilize it.,
,0,"1309, 1222, 0115",,Eldin Canyon,Use the nearby wooden boards and planks to clasp the Hudson board and hold it steady.,
,0,"-1074, 2798, 0180",,Eldin Mountains,Use the nearby wooden planks and beam to make a thin frame for the Hudson board to lean at.,
,0,"-0457, 3041, 0108",,Eldin Mountains,Use the nearby wooden beams to make a frame for the Hudson board to lean at.,
,0,"0492, 2938, 0177",,Eldin Mountains,Use the nearby construction materials and create a makeshift frame. Use a wheel to stabilize the base of the frame.,
,0,"2795, 2654, 0669",,Death Mountain,Stack the two wooden crates and use it as weight to hold the Hudson sign in place. Place the crates behind the post of the sign.,
,0,"3872, 2474, 0053",,Akkala Highlands,"From a nearby Restoration Materials pile, attach a lumber parallel to the side of a small board. Then, insert the makeshift stand on the back of the sign.",
,0,"4234, 2647, 0118",,Akkala Highlands,"Slot in a lumber horizontally in the gap of the sign. Then take a board and attach another lumber, this time vertically, in the middle. Finally, attach the top of the vertical lumber in the middle of the horizontal lumber.",
,0,"4086, 1872, 0097",,Akkala Highlands,Create a stand with the wooden boards and beams. Insert a wooden beam behind the Hudson sign to hold it in place.,
,0,"3162, 1626, 0203",,Akkala Highlands,"Use the nearby wooden boards and beams to make a stand. Attach wooden beams at the bottom of the base to even it out, and use the roof for the slanted Hudson signs to lean on.",
,0,"3421, 3524, 0209",,Deep Akkala,Use and activate the Zonai hover stone to hold the Hudson board upright.,
,0,"4451, 3074, 0216",,Deep Akkala,Use the nearby wooden boards and beams to craft a makeshift scaffolding and place it under the Hudson sign.,"20 Rupees, Rapid Meaty Rice Balls (5 hearts, lv 1 swim 5.30), Muddle Bud"
