korok_id,korok_found,korok_location,korok_num,korok_type,korok_coord_start,korok_coord_end,korok_desc,
36,0,Akkala,31,Lift the Rock,"4120, 3285, 0198",,There is a stone archway on the top of the hill in Tumlea Heights. Ascend up to the roof and lift the rock on top to find a Korok Seed.,
37,0,Akkala,32,Misc.,"3448, 3175, 0054",,At the North side of Tumlea Heights you will find a small set of ruins with a bottle hanging from the window. Hit it with an arrow to reveal the Korok Seed.,
38,0,Akkala,33,Reunite Friends,"3768, 3376, 0171",,On the West side of Tumlea Heights you will find a Korok trying to get to its friend. Make a hoverboard out of the materials nearby and glide down to meet the other Korok and collect two more Korok Seeds.,
39,0,Akkala,34,Lift the Rock,"3455, 3581, 0208",,In a small wooded area in the Akkala Wilds you will find a hole in the ground with a large rock in it. Pick up the rock and move it to the small claw shaped tree to find a Korok.,
40,0,Akkala,35,Pinwheel Archery,"2969, 3648, 0224",,There is a small pond Northeast of Skull Lake in the Akkala Wilds. Walk up to the orange windflower in the centre of the pond to make three targets appear. Hit all three targets with an arrow to add another Korok Seed to your collection.,
41,0,Akkala,36,Reunite Friends,"3075, 3682, 0214",,Near a pond at the Northernmost point of the Akkala region you will come across another Korok that needs your help. Craft a vehicle using Ultrahand and deliver it back to its friend to collect two more Korok Seeds.,
42,0,Akkala,37,Pinwheel Archery,"3183, 3456, 0088",,There is a small forest of dead trees at the very Northern tip of the Akkala region. Climb up the biggest tree in the centre and interact with the windflower to create three targets among the other trees. Hit each of the targets with an arrow to win the Korok Seed challenge.,
43,0,Akkala,38,Misc.,"4794, 3755, 0140",,On a cliff overlooking Skull Lake there is a small wooden platform with a leaf on it. Stand on the platform to create a target on the cliff below. Glide down and land on the target to find the Korok Seed.,
44,0,Akkala,39,Pinwheel Archery,"3647, 1796, 0111",,"Make your way to the back right-hand corner of Lomei Labyrinth Island to find another Korok. Make sure that you are on top of the Labyrinth rather than in it, and interact with the windflower to create five floating targets in the sky above. Hit all of the targets with an arrow to collect the Korok Seed.",
45,0,Akkala,40,Lift the Rock,"0346, -1755, 2280",,There is a semicircular piece of rubble that fell from the Sky Islands onto the Northern part of the Torin Wetlands during the Upheaval. Climb to the top of the rubble and pick up the rock at the tip to reveal the final Korok Seed in the Akkala surface region.,
46,0,,,,"0519, -1321, 1418",,,
47,0,Great Sky Island,1,Sparkle Cloud,"0251, -0823, 1443",,"Behind you in the Room of Awakening (the very first room you awaken in), beneath the roots of a tree. You'll have to return to this spot after you have left the island, as it's not there the first time you awake. Interact with the sparkling leaves.",
48,0,Great Sky Island,2,Sparkle Cloud,"0113, -1078, 1416",,Nearby a large tree in the ruins. Follow the flower as it disappears and reappears,
49,0,Great Sky Island,3,Sparkle Cloud,"0020, -1261, 1418",,"North of Ukouh Shrine. On the upper ledge near the ruins, catch the sparkling leaf trail.",
50,0,Great Sky Island,4,Sparkle Cloud,"0022, -1558, 1451",,On the tiny island in a lake on the north-west side of the region. Lift the solitary stone on the island to reveal the Korok hiding beneath it.,
51,0,Great Sky Island,5+6,Reunite Friends,"0259, -1679, 1386",,"By the bank of the river, next to the railway tracks. Build a hanging cart (use Ultrahand to stick hooks and logs together, and hang the platform from the rails) and bring the Korok to his friends on the island to the west. You'll receive two Korok Seeds for this.",
52,0,Great Sky Island,7,Lift the Rock,"0455, -1543, 1358",,"Climb up the ledge behind In-isa Shrine. Then, look climb up the large tree there and look inside. Lift the rock there.",
53,0,Great Sky Island,8,Block Puzzle,"0444, -1784, 1445",,"Instead of crossing the river to the east when you get there, go south to see floating blocks over a gap. Use Ultrahand to move the floating blocks to climb up to the area above, and into the large tree there. Or, paraglide down from above once you have it. Burn the pile of leaves in the center with a Fire Fuit (Hold R and press up on the D-pad to choose Fire Fruit).",
54,0,Great Sky Island,9,Lift the Rock,"0548, -1584, 1482",,"After crossing the body of water with your crafted raft, look for a pile of cracked, breakable rocks on the floor. Fuse a rock to a weapon to break them, and jump down below. Shoot an arrow at the floating balloon down there.",
55,0,Great Sky Island,10+11,Reunite Friends,"0620, -1653, 1502",,"By a rail on the same tiny island as a Zonai Device Dispenser is a lone Korok searching for his friend. Use Ultrahand to place a cart on top of the rail heading south. Then, attach a Fan Zonai Device on the back of it. Pick up the Korok with Ultrahand, put it in the cart, then get in as well. Activate the Fan to be pushed across the gap. Pick the Korok back up and drop it by its friend to get two Korok Seeds.",
56,0,Great Sky Island,12,Block Puzzle,"0622, -1524, 1443",,"Once in the snowy area in the southeast, look for an open cube made of blocks. Use Ultrahand to pick up the block next to it and rotate it so it fits - place it where it belongs.",
57,0,Great Sky Island,13,Lift the Rock,"0761, -1341, 1603",,"On the top of a rocky mound in the snowy area in the southeast, look for a dandelion. Attack it, then jump off the ledge to catch the seed before it hits the ground.",
58,0,Great Sky Island,14,Block Puzzle,"0376, -1731, 2352",,"Underneath the large platform - on the same level as the freezing river to the north. Accessible by using the Motorboats to cross the freezing river, or by using the Paraglider to jump down from the Bottomless Cave. Use Ultrahand to place the plus-sign shaped block back where it belongs.",
59,0,Great Sky Island,15,Lift the Rock,"0309, -1439, 2021",,"After completing Gutenbac Shrine, you'll have Ascend. Go beneath the ledge hanging on the giant tree nearby the shrine and Ascend all the way to the top. From there, move the stray rock back into the circle formation.",
60,0,Great Sky Island,16,Sparkle Cloud,"0463, -0881, 1446",,"Look at the top of the giant hollow tree trunk, above the Nachoyah Shrine at the highest point on the Great Sky Island on the south end. Stand on the lilypad and examine it.",
61,0,Great Sky Island,17,Sparkle Cloud,"0421, -1497, 1498",,"Paraglide, or use a Wing Zonai Device, down from the ledge by Nachoyah Shrine to this island at the center of the Great Sky Island below. Either dive from the air into the circle of lilypads in the lake, or dive down from the ledge above it. Sprint and press A to dive.",
62,1,Great Sky Island,18,Ascend through the Stump,"-2357, 3675, 0274",,Look behind and below the Temple of Time to the north. You'll see a small wooden stump sticking out of the top part of the pillar with leaf icons. Use the Ascend ability to ascend through the pillar.,
63,0,Great Sky Island,19,Sparkle Cloud,"-1972, 3795, 0313",,"Paraglide, or use a Wing Zonai Device, down from the ledge by Nachoyah Shrine to this island (or from Great Sky Island Korok Seed 17). Look for the circle of stones around a tree on the northside of the tiny island, and return the stray stone to the spot to complete the circle.",
64,0,,,,"-1670, 3757, 0239",,,
65,0,Tabantha Tundra,1,Lift the Rock,"-1383, 3628, 0256",,"Atop the snowy rock crag north of the Pikida Stonegrove, you will find a Korok pinwheel spinning. Stand next to the pinwheel to reveal some balloons. Shoot all the balloons to solve the puzzle. If you wait until they line up in the middle, you can pierce multiple balloons at once!",
66,0,Tabantha Tundra,2,Lift the Rock,"-0874, 3313, 0223",,Pick up the small rock at the top of the snow drift in the northwest edge of North Tabantha Snowfield to reveal a Korok.,
67,0,Tabantha Tundra,3,Sparkle Cloud,"-0997, 3084, 0237",,"In this snowy grove of trees on the North Tabantha Snowfield, you will find a glowing trail of leaves running around the area. Catch up with the trail and interact with it to reveal a Korok.",
68,0,Tabantha Tundra,4+5,Reunite Friends,"-1146, 3086, 0344",,A Korok with a backpack is found on the snowy plateau beneath the Oshozan-u Shrine in the northeast corner of North Tabantha Snowfield. Use the Zonai devices scattered around the base of the Shrine's platorm to build a vehicle and drive it towards the friend Korok by the North Lomei Labyrinth to the east. Place the Korok by their friend to unlock two Korok seeds.,
69,0,Tabantha Tundra,6,Sparkle Cloud,"-1095, 3403, 0305",,"South of the North Lomei Labyrinth, found east of the North Tabantha Snowfield, you will see a lush green tree. In a small knot on the south side of the tree, there is a small Korok acorn. Shoot the acorn the tree knot to reveal a Korok!",
70,0,Tabantha Tundra,7,Sparkle Cloud,"-1717, 2555, 0253",,"Along the edge of the east cliffside, below Mount Drena, you will see a Korok stump platform stuck to the underside of the cliff. Use Ascend to move through the platform to the top of the cliff to reveal a Korok.",
71,0,Tabantha Tundra,8,Block Puzzle,"-1540, 2554, 0238",,"On the southeastern slope of the northwest section of Mount Drena, you will find a large hole with a boulder inside at coordinates -1118, 3041, 0319. Use Ultrahand to move the boulder to the three-pronged wooden stake northwest of this hole. Place it inside the stake to reveal a Korok.",
72,0,Tabantha Tundra,9,Lift the Rock,"-1649, 2439, 0237",,"On the northeastern edge of the northwest section of Mount Drena, you can find an arrangement of small rocks. The missing rock is at the end of the northmost portion. You can find the missing rock directly northwest, just behind a small rock outcrop.",
73,0,Tabantha Tundra,10,Sparkle Cloud,"-2338, 2956, 0403",,On a narrow cliff behind the Snowfield Stable (not far west from the Snowfield Stable Well) you can see a Korok tree stump clinging to the underside of the cliff. Use Ascend through the stump to reveal the Korok on the other side.,
74,0,Tabantha Tundra,11+12,Reunite Friends,"-0685, 3535, 0284",,"Among a small group of trees southeast of the Snowfield Stable in South Tabantha Snowfield, a Korok with a backpack sits on the ground. Bring them to their friend down the east road at coordinates -1338, 2792, 0203.",
75,0,Tabantha Tundra,13,Sparkle Cloud,"-1762, 3554, 0234",,"Among a small group of trees directly south of the Snowfield Stable, you can find two small stone statues. One holds an Ice Fruit in its offering plate. Go into your Inventory and Hold one Ice Fruit, and drop it onto the empty offering plate in front of the righthand statue.",
76,0,Tabantha Tundra,14,Block Puzzle,"-1971, 3115, 0352",,"On one of the snowy plateaus just south of the Pikida Stonegrove Skyview Tower, you can find a Korok with a backpack. He has been seperated from his friend, who can be found near the Skyview Tower at coordinates -2372, 3018, 0441. Use Ultrahand on the nearby wood pallets to reconnect the bridge from the Skyview Tower plateau to the other side. Be sure to connect the wood pallets at roughly 45 degree angles to make them stretch further. You can attach the Korok to one of the wood pallets near the top of the bridge if you are having trouble walking up the entireity of the bridge. Then when you get to the top, just use Ultrahand on the Korok again to disconnect them from the bridge piece and carry him over to the Korok by the Skyview Tower.",
77,0,Tabantha Tundra,15,Sparkle Cloud,"-2078, 2589, 0301",,"On the east corner of the North Lomei Labryinth on the surface level, you can find a Korok pinwheel spinning. Stand on top of it, and a Korok balloon with a target painted on it will appear, moving in a rapid zig-zagging motion. Shoot the balloon with an arrow to reveal a Korok.",
78,1,Tabantha Tundra,16,Lift the Rock,"-2267, 2283, 0323",,"In the center of the North Tabantha Snowfield, you can find a small rock sitting inside one of the tear-shaped outlines inside the geoglyph sprawled across the north section of North Tabantha Snowfield. Pick up the rock to reveal a Korok.",
79,0,Tabantha Tundra,17,Sparkle Cloud,"-2382, 2133, 0393",,"On a cliff overlooking the North Tabantha Snowfield, east of the Pikida Stonegrove, you can find a Korok tree stump. Step onto the tree stump to reveal a glowing landing target on the next cliff below, further east. Leap into the air and Paraglide down to land directly onto the target to reveal a Korok. Your feet cannot touch the ground before you land on the target landing pand, otherwise the puzzle will reset.",
80,0,Tabantha Tundra,18,Lift the Rock,"-2207, 2091, 0323",,"On a cliff to the west of the Kopeeki Drifts, overlooking the South Tabantha Snowfield, you can find a group of small rocks arranged in the shape of a diamond. One rock is missing, and you can find it just over the side of the hill to the west. Use Ultrahand or carry the rock and place it in the gap of the diamond to reveal a Korok.",
81,0,Tabantha Tundra,19,Block Puzzle,"-2074, 2077, 0285",,"On a cliff in the southern part of Kopeeki Drifts, you can find a three-pronged wooden stake. Down the slope to the west you can find a giant boulder. Use Ultrahand to carry the boulder over and place it on top of the three-pronged stake to reveal a Korok.",
82,0,Tabantha Tundra,20,Sparkle Cloud,"-1811, 2198, 0273",,"At the top of a ridge north of the Tabantha Hills, you can find a Korok pinwheel. Step up to it, and three Korok balloons with targets painted on them will appear to the northwest. Shoot each balloon as they move in a circle counterclockwise to reveal the Korok.",
83,0,Tabantha Tundra,21,Block Puzzle,"-2297, 1908, 0296",,"Along the road northeast of the Tabantha Village Ruins, you will spot two small stone statues underneath a wooden scaffold. Further southwest down the road, there is a supply cache of wooden pallets and other parts left behind by Hudson Construction. Grab one of the largest wooden pallets and carry it over using Ultrahand. Place the pallet on the scaffold to create a roof.",
84,0,Tabantha Tundra,22,Sparkle Cloud,"-2531, 1855, 0300",,"In the ruins of a small buildiong southwest of the Monster Forces fort in South Tabantha Snowfield, there is a small acorn hanging from one of the rafters by a chain. Shoot the acorn to reveal a Korok.",
85,0,Tabantha Tundra,23,Lift the Rock,"-2737, 2267, 0353",,"In the south corner of the Monster Forces fort in South Tabantha Snowfield, you can find a small rock atop the giant monster skull. Pick up the rock to reveal a Korok. You can find a small cave hidden by ice chunks on this same south side of the monster fort, making it possible to Ascend into the Monster Forces fort and then again to the top of the skull.",
86,0,Tabantha Tundra,24,Sparkle Cloud,"-2837, 2318, 0391",,"In the ruins of a building along the road through the Tabantha Village Ruins, you can find a hollow tree stump with a Korok acorn wedged inside it. By standing on the half-collapsed roof of the building, you can shoot an arrow at the acorn to reveal a Korok.",
87,0,Tabantha Tundra,25,Sparkle Cloud,"-2635, 2057, 0338",,"On the side of the cliffs north of the Tabantha Hills, you can find a geoglyph that resembles the Temple of Time on the Great Sky Island. At the center of the geoglyph, inside a small tear shape, is a Korok acorn hanging to the cliffs suspended by a chain. Shoot the acorn with an arrow to reveal a Korok.",
88,0,Tabantha Tundra,26,Sparkle Cloud,"-1667, 3282, 0978",,A Korok acorn hangs from a chain underneath the snowy stone arch that stretches over the Hebra Falls. Shoot the Korok acorn to reveal a Korok.,
89,0,Tabantha Tundra,27+28,Reunite Friends,"-1683, 3569, 0986",,"On the west side of Hebra Falls, nearby a Hudson Construction supply cache you can find a Korok with a backpack. Their friend is sending a smoke signal on the cliffs above, near the Hebra Headspring. Nearby to the west, you can find some Zonai devices including a balloon, Flame Emitter, and Rockets. Build a device such as a makeshift air balloon and attach the Korok to it using Ultrahand. Detach the Korok at the top of cliff and carry them over to the friend Korok using Ultrahand.",
90,1,Tabantha Tundra,29,Block Puzzle,"-1186, 2481, -0100",,"In a small cave where the Hebra Falls bends west and turns into the Hebra Plunge, you can find a small island with a Korok cube statue puzzle on it. In order to reach this cave, you will need to float down river, but the water here is unbearably cold, so be prepared with healing items. Using Ultrahand, detach the piece of the statue that is currently in the wrong place, the orient it so that the cross-shape is lying flat before placing it in the center of the statue. It should be a perfectly symmetrical statue when the piece is placed correctly.",
91,0,Tabantha Tundra,30,Sparkle Cloud,"-1147, 2534, -0033",,"On a small island floating south and a bit above the cross-shaped sky island in the East Hebra Sky Archipelago where the Taninoud Shrine is located, you can find a Korok stump on the northeast side. Climb down the northeast side of this small floating island and onto the Korok tree stump.",
92,0,Tabantha Tundra,31,Sparkle Cloud,"-1051, 2617, 0031",,"On the larger sky island in the East Hebra Sky Archipelago, northeast of the Taninoud Shrine, there are two large hollowed tree stump. In the westmost hollow stump, there is a yellow Korok flower. Walk over the flower and a new one will appear on the wall of the trunk. Keep following the yellow flowers as they appear, leading your east towards the second hollow stump until a white flower appears there. Walk over the final white Korok flower to reveal a Korok.",
93,0,Tabantha Tundra,32,Lift the Rock,"-1581, 2132, -0038",,Pick up the rock sitting in the crevice near the back of the Forgotten Temple along the southeastern wall to reveal a Korok.,
94,0,Tabantha Tundra,33,Lift the Rock,"-0780, -0501, 0017",,A tree grows out of the eastern wall of the Forgotten Temple near the Mayuasiy Shrine. Climb up the wall to the tree and you will find a small rock sitting the center of its branches. Pick the small rock up to reveal a Korok.,
95,0,Tabantha Tundra,34,Block Puzzle,"-0947, 0682, 0055",,On top of the Forgotten Temple there are three natural-made stone pillars in the northmost section. In the center of these pillars is a Korok cube statue puzzle. Use the missing piece to complete the southmost Korok sculpture so that it perfectly matches the second. Use Ultrahand to pick up the missing piece and orient it in the direction shown in the screenshot above.,
96,0,Tabantha Tundra,35,Sparkle Cloud,"-0777, 0938, 0017",,"Atop the northwest pillar standing outside the entrance to the Forgotten Temple there is a Korok pinwheel. Step up to the pinwheel and five Korok balloons with targets painted on them will appear, spinning slowly in a circle around you clockwise. Shoot each balloon to reveal a Korok.",
97,0,North Hyrule Field,36+37,Reunite Friends,"-0254, 0424, 0028",,"South of the Susuyai Shrine, near the southern border of Lookout Landing, there will be a Korok waiting to be reunited with his friend. You can either use the nearby Zonai devices to send him to his friend, or use Ultrahand and walk the path towards the green smoke.",
98,0,North Hyrule Field,38,Sparkle Cloud,"-0434, 0481, 0028",,There will be a Korok wood stand atop a hill under a big tree residing two eggs on top of it. Stand on top of the Korok wood stand and be ready to race towards the ring that appears as soon as you stand on it.,
99,0,North Hyrule Field,39+40,Reunite Friends,"-0958, 0204, 0031",,"Just a little north of the previous korok seed, there will be a Korok waiting for you to help him reach his friend, who is across the river. Build a raft to cross the river and use Ultrahand once you reach land.",
100,0,North Hyrule Field,41,*,**,,"Below Moat bridge near Castle Town Prison, there will be a ballon. Shoot the ballon to free the Korok.",
101,0,North Hyrule Field,42,Lift the Rock,**,,The fifth Korok seed will be under a rock located on top of the broken fountain in Central Square.,
102,0,North Hyrule Field,43+44,Reunite Friends,**,,This Korok will be waiting near the Yamiyo Shrine to be reunited with his friend.,
103,0,North Hyrule Field,45+46,Reunite Friends,**,,"South of Rebonae Bridge, near the Wetland Stable, there will be a Korok waiting to be reunited with his friend.",
104,0,North Hyrule Field,47,*,**,,"On a small hill, south of the Hyrule Field Chasm, there will be a Korok hiding under a rock.",
105,0,North Hyrule Field,48,*,**,,"This Korok will be hiding under a rock in a small fountain in Hyrule Garrison Ruin, you can use Susuyai Shrine to fast travel and walk your way there.",
106,0,North Hyrule Field,49+50,Reunite Friends,**,,Time to help a friend in need. This little Korok will be lying near Hylia River and his friend is waiting across a river. Chop up some nearby trees and use the logs to get across it.,
107,0,North Hyrule Field,51,*,**,,"Not far from where you helped the previous Korok reach his friend, another Korok will be hiding nearby. There will be a giant tree you can climb nearby. Pick up the rock on top of it and a little Korok will pop up.",
108,0,North Hyrule Field,52,*,**,,"In between Bottomless Pond and Floret Sandbar, in the same land where you found the previous Korok, will lie a rock near the shore of a small pond. Pick up the rock and a Korok will pop up.",
109,0,North Hyrule Field,53,*,**,,"Up on the north side of Bottomless Pond, there will be a Korok hiding under a rock.",
110,0,North Hyrule Field,54,*,**,,"On a hole of decaying tower, just south of Ranch Ruins, there will be a Korok hiding under a rock.",
111,0,North Hyrule Field,55,*,**,,"East of where you found the previous Korok, another hidden Korok lies. The Korok seed will be stuck inside a fallen tree trunk. Hit the seed inside the trunk to free the Korok.",
112,0,North Hyrule Field,56,*,**,,"On a small hill, a set of rocks will be missing one piece. Take a nearby rock and place it on the empy spot to make a Korok appear.",
113,0,North Hyrule Field,57,*,**,,Follow the two arrows that point to a hill overlooking the Hylia River. Stand on the very top of the hill and wait until Korok leaves that floating. Examine the small whirlwind forming and a Korok will appear.,
114,0,North Hyrule Field,58,*,**,,"Below Hyrule Field Chasm and north of Windvane Meadow, there will be a Korok seed stuck on a big tree. Shoot it with an arrow to save the Korok stuck in the tree.",
115,0,North Hyrule Field,59,*,**,,"In a small forest, north of Passeri Greenbelt, there will be a tree stump with a flower obejct glued to it. Stand on the tree stump to have a set of ballons pop in the air. There will be four ballons you need to shoot down. One of them will be floating right above you.",
116,0,North Hyrule Field,60,*,**,,"In Passeri Greenbelt, near a Goblin fort, climb a big tree to shoot a ballon and make a Korok appear.",
117,0,North Hyrule Field,61,*,**,,"On the bridge from the Royal Hidden Passage leading to the Hyrule Castle Ruins, there will be a Korok hiding underneath a rock on top of a ruined tower.",
118,0,North Hyrule Field,62,*,**,,"On a small bridge west from the main bridge leading to Hyrule Castle Ruins, there will be a rock hidden beneath a patch of leaves. Set the leaves on fire to reveal the rock. The Korok will be hiding underneath the rock.",
119,0,North Hyrule Field,63,*,**,,"Northwest from Boneyard Bridge, there will be a small fountain with a whirlwind of leaves circling around it. Examine the whirlwind and a Korok will reward you.",
120,0,North Hyrule Field,64,Yellow Flower,**,,"On a set of ruined towers, north of the Romani Plains, follow the flower to the last ruined tower.",
121,0,North Hyrule Field,65,*,**,,"North of the Quarry Ruins, climb the top of the hill and follow the whirlwind of leaves until the end.",
122,0,North Hyrule Field,66,*,**,,"Around a small set of three godess stones, north of the Castle Town Prison, a whirlwind of leaves will be circling around them, examine it to reveal a Korok.",
123,0,North Hyrule Field,67,*,**,,Climb the very top of the First Gatehouse to examine a whirlwind of leaves surrounding it. Examine it to reveal a Korok.,
124,0,North Hyrule Field,68,*,**,,"Near the First Gatehouse, in a small corner there will be a rock inside gated doors. Lift and move the rock with Ultrahand and a Korok will appear.",
125,0,North Hyrule Field,69,*,**,,A dandelion will be standing on a small hill south of Rebonae Bridge. Slash it and take the seed before it lands.,
126,0,North Hyrule Field,70,*,**,,"Just below the Rebonae Bridge, there will be a tree stump with a leaf marking. Stand on it and race towards the ring across the river.",
127,0,North Hyrule Field,71,*,**,,"On the east side of Mount Gustaf, there will be a Korok seed stuck in a big tree that stands in front of building materials.",
128,0,North Hyrule Field,72,*,**,,"On the west side of Mount Gustaf, there is a bridge that hovers over Regencia River. Underneath that bridge, hangs a Korok seed. Shoot it to reveal a Korok.",
129,0,North Hyrule Field,73,*,**,,"North from the Giant's Forest, there will be a small hill that stands near a bridge. A Korok will be hiding underneath the hill's sole, small rock.",
130,0,North Hyrule Field,74,*,"-1398, 0080, 0023",,"South from the Giant's Forest, right outside the forest, there will be a large tree cut in half. Climb it and a dandelion will be standing there. Slash the dandelion to reveal the Korok.",
